ID,Name,Type,Category,Pricing Model,Price (INR),,Price (USD),Tax Rate,Tax Included,SKU,HSN Code,SAC Code,Billing Cycle,Unit,Min Quantity,Max Quantity,Domain,Subscription Frequency,Subscription Year,Subscription Mode,Tags,Notes,Is Featured,Created At,Updated At,Status
,International Journal of Electronics Automation (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijea-P,,,ONE_TIME,unit,1,,Electronics & Telecommunication Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of VLSI Circuit Design & Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijvcdt-P,,,ONE_TIME,unit,1,,Electronics & Telecommunication Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Satellite Remote Sensing (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijsrs-P,,,ONE_TIME,unit,1,,Electronics & Telecommunication Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Solid State Innovations & Research (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijssir-P,,,ONE_TIME,unit,1,,Electronics & Telecommunication Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Optical Innovations & Research (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijoir-P,,,ONE_TIME,unit,1,,Electronics & Telecommunication Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Nuclear Engineering & Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jonet-P,,,ONE_TIME,unit,1,,Energy,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Alternate Energy Sources & Technologies (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joaest-P,,,ONE_TIME,unit,1,,Energy,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,"Journal of Energy, Environment & Carbon Credits (Print)",SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joeecc-P,,,ONE_TIME,unit,1,,Energy,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Thermal Engineering and Applications (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jotea-P,,,ONE_TIME,unit,1,,Energy,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Recent Trends in Fluid Mechanics (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rtfm-P,,,ONE_TIME,unit,1,,Energy,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Human Rights Law and Practice (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,jhrlp-P,,,ONE_TIME,unit,1,,Law,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Intellectual Property rights Law (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,jiprl-P,,,ONE_TIME,unit,1,,Law,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Corporate Governance and International Business Law (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,jcgibl-P,,,ONE_TIME,unit,1,,Law,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Banking and Insurance Law (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,jbil-P,,,ONE_TIME,unit,1,,Law,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,National Journal of Real Estate Law (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njrel-P,,,ONE_TIME,unit,1,,Law,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,National Journal of Environmental law (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njel-P,,,ONE_TIME,unit,1,,Law,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Taxation and Regulatory framework (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,jtrf-P,,,ONE_TIME,unit,1,,Law,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Constitutional Law and Jurisprudence (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,jclj-P,,,ONE_TIME,unit,1,,Law,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Family and Adoption Law (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,jfal-P,,,ONE_TIME,unit,1,,Law,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Law of Torts and Consumer Protection Law (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,jltcpl-P,,,ONE_TIME,unit,1,,Law,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,National Journal of Labour and Industrial Law (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njlil-P,,,ONE_TIME,unit,1,,Law,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,National Journal of Cyber Security Law (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njcsl-P,,,ONE_TIME,unit,1,,Law,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Indian Journal of Health & Medical Laws (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijhml-P,,,ONE_TIME,unit,1,,Law,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Capital Market and Securities Law (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,jcmsl-P,,,ONE_TIME,unit,1,,Law,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,National Journal of Criminal Law (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njcl-P,,,ONE_TIME,unit,1,,Law,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews : Journal of Botany (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjob-P,,,ONE_TIME,unit,1,,Life Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews : Journal of Dairy Science & Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjodst-P,,,ONE_TIME,unit,1,,Life Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews : Journal of Veterinary Science and Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjovst-P,,,ONE_TIME,unit,1,,Life Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews : Journal of Ecology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjoe-P,,,ONE_TIME,unit,1,,Life Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews : A Journal of Life Sciences (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjols-P,,,ONE_TIME,unit,1,,Life Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews: A Journal of Microbiology & Virology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjomv-P,,,ONE_TIME,unit,1,,Life Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Fungi (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijf-P,,,ONE_TIME,unit,1,,Life Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Marine Life (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijml-P,,,ONE_TIME,unit,1,,Life Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Insects (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,iji-P,,,ONE_TIME,unit,1,,Life Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Emerging Trends in Metabolites (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,etm-P,,,ONE_TIME,unit,1,,Life Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,NOLEGEIN Journal of Management Information Systems (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njmis-P,,,ONE_TIME,unit,1,,Management,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,"NOLEGEIN Journal of Business Ethics , Ethos & CSRw (Print)",SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njbeec-P,,,ONE_TIME,unit,1,,Management,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,"NOLEGEIN Journal of Entrepreneurship Planning, Development and Management (Print)",SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njepdm-P,,,ONE_TIME,unit,1,,Management,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,NOLEGEIN Journal of Operations Research & Management (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njorm-P,,,ONE_TIME,unit,1,,Management,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,NOLEGEIN Journal of Supply Chain and Logistics Management (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njsclm-P,,,ONE_TIME,unit,1,,Management,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,NOLEGEIN Journal of Financial Planning And Management (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njfpm-P,,,ONE_TIME,unit,1,,Management,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,NOLEGEIN Journal of Performance Management & Retention Strategies (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njpmrs-P,,,ONE_TIME,unit,1,,Management,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,NOLEGEIN Journal of Human Resource Management & Development (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njhrmd-P,,,ONE_TIME,unit,1,,Management,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,NOLEGEIN Journal of Information Technology & Management (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njitm-P,,,ONE_TIME,unit,1,,Management,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,NOLEGEIN Journal of Business Risk management (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njbrm-P,,,ONE_TIME,unit,1,,Management,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,NOLEGEIN Journal of Corporate & Business Laws (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njcbl-P,,,ONE_TIME,unit,1,,Management,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,NOLEGEIN Journal of Organizational Behavior Management (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njobm-P,,,ONE_TIME,unit,1,,Management,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,NOLEGEIN Journal of Leadership and Strategic Management (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njlsm-P,,,ONE_TIME,unit,1,,Management,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,NOLEGEIN Journal of Global Marketing (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njgm-P,,,ONE_TIME,unit,1,,Management,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,NOLEGEIN Journal of Advertising and Brand Management (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njabm-P,,,ONE_TIME,unit,1,,Management,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,NOLEGEIN Journal of Consumer Behavior & Market Research (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,njcbmr-P,,,ONE_TIME,unit,1,,Management,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Trends in Mechanical Engineering & Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,tmet-P,,,ONE_TIME,unit,1,,Mechanical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Experimental & Applied Mechanics (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joeam-P,,,ONE_TIME,unit,1,,Mechanical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Mechatronics and Automation (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joma-P,,,ONE_TIME,unit,1,,Mechanical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Trends in Machine design (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,tmd-P,,,ONE_TIME,unit,1,,Mechanical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Automobile Engineering and Applications (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joaea-P,,,ONE_TIME,unit,1,,Mechanical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,"Journal of Refrigeration, Air conditioning, Heating and ventilation (Print)",SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jorachv-P,,,ONE_TIME,unit,1,,Mechanical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Production Research & Management (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joprm-P,,,ONE_TIME,unit,1,,Mechanical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Industrial and Product Design Engineering (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijipde-P,,,ONE_TIME,unit,1,,Mechanical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Robotics and Automation in Mechanics (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijram-P,,,ONE_TIME,unit,1,,Mechanical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Energy and Thermal Applications (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijeta-P,,,ONE_TIME,unit,1,,Mechanical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Manufacturing and Production Engineering (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijmpe-P,,,ONE_TIME,unit,1,,Mechanical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Advanced Robotics and Automation Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijarat-P,,,ONE_TIME,unit,1,,Mechanical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Environmental Noise and Pollution Control (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijenpc-P,,,ONE_TIME,unit,1,,Mechanical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews : A Journal of Immunology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjoi-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews : Journal of Medical Science and Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjomst-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews : Journal of Surgery (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjos-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews: A Journal of Bioinformatics (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjobi-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews: A Journal of Dentistry (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjod-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews: A Journal of Health Professions (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjohp-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews: A Journal of Medicine (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjom-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews: A Journal of Neuroscience (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjons-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews: A Journal of Toxicology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjot-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews: Journal of Oncology and Hematology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjooh-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Virus Studies (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijvs-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Pathogens (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijpg-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Vaccines (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijv-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Brain Sciences (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijbs-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Antibiotics (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijab-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Emerging Trends in Personalized Medicines (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,etpm-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Recent Trends in Infectious Diseases (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,rtid-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Tropical Medicines (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijtm-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Recent Trends in Cosmetics (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,rtc-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Membranes (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijm-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Biomedical Innovations and Engineering (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijbie-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Toxins and Toxics (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijtt-P,,,ONE_TIME,unit,1,,Medical Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Omni Science: A Multi-disciplinary Journal (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,osmj-P,,,ONE_TIME,unit,1,,Multidisciplinary,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Aerospace Engineering & Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joaet-P,,,ONE_TIME,unit,1,,Multidisciplinary,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews : Journal of Space Science & Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjosst-P,,,ONE_TIME,unit,1,,Multidisciplinary,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Remote Sensing & GIS (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jorsg-P,,,ONE_TIME,unit,1,,Multidisciplinary,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Water Pollution & Purification Research (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jowppr-P,,,ONE_TIME,unit,1,,Multidisciplinary,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Sustainability (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijsu-P,,,ONE_TIME,unit,1,,Multidisciplinary,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Universe (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,iju-P,,,ONE_TIME,unit,1,,Multidisciplinary,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Land (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijl-P,,,ONE_TIME,unit,1,,Multidisciplinary,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal on Drones (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijd-P,,,ONE_TIME,unit,1,,Multidisciplinary,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Nano Trends-A Journal of Nano Technology & Its Applications (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,nts-P,,,ONE_TIME,unit,1,,Nano Technology,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,"Journal of Nanoscience, NanoEngineering & Applications (Print)",SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jonsnea-P,,,ONE_TIME,unit,1,,Nano Technology,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Nursing Science & Practice (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jonsp-P,,,ONE_TIME,unit,1,,Nursing,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Orthopedic Nursing and Practices (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijornp-P,,,ONE_TIME,unit,1,,Nursing,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Oncological Nursing and Practices (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijonnp-P,,,ONE_TIME,unit,1,,Nursing,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Emergency and Trauma Nursing and Practices (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijetnp-P,,,ONE_TIME,unit,1,,Nursing,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Community Health Nursing And Practices (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijchnp-P,,,ONE_TIME,unit,1,,Nursing,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Women's Health Nursing And Practices (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijwhnp-P,,,ONE_TIME,unit,1,,Nursing,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Evidence Based Nursing And Practices (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijebnp-P,,,ONE_TIME,unit,1,,Nursing,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Midwifery Nursing And Practices (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijmnp-P,,,ONE_TIME,unit,1,,Nursing,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews: A Journal of Pharmacognosy (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjopc-P,,,ONE_TIME,unit,1,,Pharmacy,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews: A Journal of Pharmaceutical Science (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjops-P,,,ONE_TIME,unit,1,,Pharmacy,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
