Name,Code,Type,Category,Email,Phone,Website,Country,State,City,IP Range,Total Students,Total Faculty,Customer Count,Sub Count
Prints India Limited,,AGENCY,Agency,contact@printspublications.com,1123268645,N/A,India,,N/A,N/A,0,0,0,0
Prints Publications Pvt Ltd,,AGENCY,Agency,journals@printspublications.com,"011-45355555, 41644472, 8178836718",N/A,India,,N/A,N/A,0,0,0,0
Priytej Publication,,AGENCY,Agency,pankaj.malhotra5514@gmail.com,942060914,N/A,India,,N/A,N/A,0,0,0,0
Progressive Journal Subscription Agent,,AGENCY,Agency,progressive_india@ymail.com,9831724425,N/A,India,,N/A,N/A,0,0,0,0
R.S. Publishers Distributors,,AGENCY,Agency,rspdbooks@hotmail.com,022-27579975 / 09324882656,N/A,India,,N/A,N/A,0,0,0,0
Raghav Books Private Limited,,AGENCY,Agency,"raghavbooks16@gmail.com, info@raghavbooks.com","0120-2870141,9650337111,9650377111",N/A,India,,N/A,N/A,0,0,0,0
Rajasthani Granthagar,,AGENCY,Agency,info@rgbooks.net,"0291 2623933, 2657530, 2657531 , 9414100334",N/A,India,,N/A,N/A,0,0,0,0
Rajiv Tandan & Co.,,AGENCY,Agency,rajivtandan@rtandco.in,,N/A,India,,N/A,N/A,0,0,0,0
Ratan Subscription Agency,,AGENCY,Agency,,9810021051,N/A,India,,N/A,N/A,0,0,0,0
Readers Point,,AGENCY,Agency,"chandrika@readerspoint.com, subscriptions@readersp",#ERROR!,N/A,India,,N/A,N/A,0,0,0,0
Renu Agency,,AGENCY,Agency,radhikahari936@gmail.com,9080778437,N/A,India,,N/A,N/A,0,0,0,0
Research And Market,,AGENCY,Agency,updates@researchandmarkets.net accounts@research,Phone: +353 1 416 8900 | Direct: +353 1 416 8916,N/A,India,,N/A,N/A,0,0,0,0
Research And Markets Pmt,,AGENCY,Agency,updates@researchandmarkets.net accounts@research,Phone: +353 1 416 8900 | Direct: +353 1 416 8916,N/A,India,,N/A,N/A,0,0,0,0
Resource Update Knowledge Solutions Pvt. Ltd,,AGENCY,Agency,ashish.paul@resourceupdate.in,"9836906245, 9830282376",N/A,India,,N/A,N/A,0,0,0,0
Rhino International Agencies,,AGENCY,Agency,"sonali@riabom.com, claims@riabom.com",022-27682934,N/A,India,,N/A,N/A,0,0,0,0
Richardson Supply Company Limited,,AGENCY,Agency,,,N/A,India,,N/A,N/A,0,0,0,0
Rnb Global University,,AGENCY,Agency,rnbhouse@rnbglobal.edu.in,011-49199046,N/A,India,,N/A,N/A,0,0,0,0
Romdidac Sa,,AGENCY,Agency,mihaela_stepanescu@romdidac.ro,#ERROR!,N/A,India,,N/A,N/A,0,0,0,0
Roopal Book Stall,,AGENCY,Agency,roopalorder@gmail.com,"(02692): 237171, 237373.",N/A,India,,N/A,N/A,0,0,0,0
Royal News & Subscription Agency,,AGENCY,Agency,"royalnewsagency@gmail.com,royalnewagency@yahoo.com",9839328167/ 8400160772,N/A,India,,N/A,N/A,0,0,0,0
S.K. Books & Periodicals,,AGENCY,Agency,skbooks9999@gmail.com,011-41325699 / 9555540694,N/A,India,,N/A,N/A,0,0,0,0
S.S. & Company,,AGENCY,Agency,ssco3@yahoo.com,8697956022,N/A,India,,N/A,N/A,0,0,0,0
Sagar Marketing & Suppliers,,AGENCY,Agency,sagar.marketing39@gmail.com,9981453097,N/A,India,,N/A,N/A,0,0,0,0
Samarth Publications & Subscriptions Pvt. Ltd.,,AGENCY,Agency,CS@samarthsubscriptions.com,1147055993,N/A,India,,N/A,N/A,0,0,0,0
Sanjit Subscription Service,,AGENCY,Agency,saisanjitp@gmail.com,9566016169,N/A,India,,N/A,N/A,0,0,0,0
Santanu Chattopadhyay,,AGENCY,Agency,santanuchat77@gmail.com,9433442653,N/A,India,,N/A,N/A,0,0,0,0
Satish Serial Info,,AGENCY,Agency,info@satishserial.com,011 2767 2852,N/A,India,,N/A,N/A,0,0,0,0
Satish Serial Publications,,AGENCY,Agency,info@satishserial.com,"011-47073040, 011-27672852",N/A,India,,N/A,N/A,0,0,0,0
Saurabh Pustak Bhandar International,,AGENCY,Agency,spbiahd@yahoo.com,Mob; 9327000918 /079 2745 1400,N/A,India,,N/A,N/A,0,0,0,0
Savera Book Distributors,,AGENCY,Agency,rtmishra.savera@gmail.com,011 2327 6862,N/A,India,,N/A,N/A,0,0,0,0
Sbd Subscription Services,,AGENCY,Agency,sbdbooks@gmail.com,"91-11-28714138, 4238, 65450350",N/A,India,,N/A,N/A,0,0,0,0
Scholar Books & Journals,,AGENCY,Agency,infoscholarjournals@gmail.com,9901960234/8095649593,N/A,India,,N/A,N/A,0,0,0,0
Sdrd Solutions Pvt Ltd,,AGENCY,Agency,support@mysubs.in,9971202170,N/A,India,,N/A,N/A,0,0,0,0
Shanti Books,,AGENCY,Agency,Info.shantibooks@gmail.com,044-43568379/9841565669,N/A,India,,N/A,N/A,0,0,0,0
Shanti News Services,,AGENCY,Agency,shantinewsservices@gmail.com,9654148574,N/A,India,,N/A,N/A,0,0,0,0
Sharad Subscription Agency,,AGENCY,Agency,sharadsubagency@gmail.com,,N/A,India,,N/A,N/A,0,0,0,0
Shivank Learning Resources Inc.,,AGENCY,Agency,books.shivank@gmail.com,0265-6625467,N/A,India,,N/A,N/A,0,0,0,0
Shravani Enterprises,,AGENCY,Agency,shravanienterprises2014@gmail.com,8975773201,N/A,India,,N/A,N/A,0,0,0,0
Shree Ganesh Books & Periodicals,,AGENCY,Agency,yashbooks@yahoo.co.in,na,N/A,India,,N/A,N/A,0,0,0,0
Sigma Book Agency,,AGENCY,Agency,sigma_booksagency@yahoo.com,011-65921263,N/A,India,,N/A,N/A,0,0,0,0
Sita Books & Periodicals Pvt. Ltd.,,AGENCY,Agency,info@sitabooks.com,02267973281/82/83,N/A,India,,N/A,N/A,0,0,0,0
Sky Books,,AGENCY,Agency,skybooks2000@gmail.com,9120500800,N/A,India,,N/A,N/A,0,0,0,0
Slb Book Services,,AGENCY,Agency,slbbooksperiodicals@gmail.com,7013012386,N/A,India,,N/A,N/A,0,0,0,0
Softec Computers,,AGENCY,Agency,siddharth.softec@gmail.com,9832998369/9434330157,N/A,India,,N/A,N/A,0,0,0,0
South Asia Distributors And Publishers,,AGENCY,Agency,sadpindia@yahoo.co.in,011-29963545,N/A,India,,N/A,N/A,0,0,0,0
Sowmya Thyagarajan,,AGENCY,Agency,,9717375655,N/A,India,,N/A,N/A,0,0,0,0
Speewdy Publication Agency,,AGENCY,Agency,speewdypublication@gmail.com,8383937491,N/A,India,,N/A,N/A,0,0,0,0
Sprinkle Agency Llp,,AGENCY,Agency,sprinkleagency04@gmail.com,9967356314,N/A,India,,N/A,N/A,0,0,0,0
Srushti Books & Journals Depo,,AGENCY,Agency,"srushtibooks@gmail.com,serialssurekha2013@gmail.co",,N/A,India,,N/A,N/A,0,0,0,0
Ss Publishers & Distributors Pvt. Ltd,,AGENCY,Agency,info@ssjpd.com,"011-43544938, 43544939, 23270511",N/A,India,,N/A,N/A,0,0,0,0
Ssr Subscription Agency,,AGENCY,Agency,ssrsubage@gmail.com,"9440438089, 9908074973",N/A,India,,N/A,N/A,0,0,0,0
Star Multilingual Books,,AGENCY,Agency,"starpub@starpublic.com, starmultilingualbooks@starpublic.com","011-23274874, 23262696",N/A,India,,N/A,N/A,0,0,0,0
Sterling Book House,,AGENCY,Agency,maritime@sterlingbookhouse.com,8652077687,N/A,India,,N/A,N/A,0,0,0,0
Subdesk,,AGENCY,Agency,Subdesk@subkart.com,"0831-4210148/9,9164619818",N/A,India,Karnataka,N/A,N/A,0,0,0,0
Subscription Centre,,AGENCY,Agency,sbscriptioncentre37@yahoo.com,09428107495 / 09374583641,N/A,India,,N/A,N/A,0,0,0,0
Sudha Book House,,AGENCY,Agency,sudhabooks@rediffmail.com,9007865653,N/A,India,,N/A,N/A,0,0,0,0
Sunil Magazine Services,,AGENCY,Agency,sunilmagazine@rediffmail.com,9226526008,N/A,India,,N/A,N/A,0,0,0,0
Sunrise Books & Stationers,,AGENCY,Agency,sunrise_books@yahoo.co.in,91-9828057407,N/A,India,,N/A,N/A,0,0,0,0
Surya Infotainment Products Pvt. Ltd.,,AGENCY,Agency,sipmag@sipbooks.com,080-22340903,N/A,India,Karnataka,N/A,N/A,0,0,0,0
Swati Subscription Service,,AGENCY,Agency,swatisubservices@gmail.com,Mob # 9769760773 / 9867471977,N/A,India,,N/A,N/A,0,0,0,0
Tarun Books Pvt. Ltd.,,AGENCY,Agency,ahujasubscription@gmail.com,9716521928,N/A,India,,N/A,N/A,0,0,0,0
Techno Books & Periodicals,,AGENCY,Agency,"technobooks@hotmail.com, technobooks@yahoo.co.in",,N/A,India,,N/A,N/A,0,0,0,0
The Law Publishers,,AGENCY,Agency,purchase@thelawpublishers.com,9935718362,N/A,India,,N/A,N/A,0,0,0,0
The Overseas Book House,,AGENCY,Agency,tss_mumbai@rediffmail.com,919921019594,N/A,India,,N/A,N/A,0,0,0,0
The Standard Book Company,,AGENCY,Agency,journals@sbc.co.in,91-98803 39014,N/A,India,,N/A,N/A,0,0,0,0
The Word Bookshop,,AGENCY,Agency,thewordbookshop@gmail.com,9370678114,N/A,India,,N/A,N/A,0,0,0,0
Timely Management Consultancy Services Pvt Ltd,,AGENCY,Agency,timely2013@gmail.com,9326260349,N/A,India,,N/A,N/A,0,0,0,0
Total I.T. Solutions Pvt. Ltd,,AGENCY,Agency,"claims@totalit.co.in, order@tlsindia.com, accounts@tlsindia.com, pubclaims@totalit.co.in",011-25833321/23,N/A,India,,N/A,N/A,0,0,0,0
"Total Library Solution Career Point Technical Campus,Tangori",,AGENCY,Agency,,,N/A,India,,N/A,N/A,0,0,0,0
"Total Library Solutions Agent Career Point Technical Campus,Rajsamand",,AGENCY,Agency,,,N/A,India,,N/A,N/A,0,0,0,0
Tower Periodical Subscription Agency,,AGENCY,Agency,prhpn@yahoo.com. topsaychf@gmail.com,,N/A,India,,N/A,N/A,0,0,0,0
Transstellar Journal Publications & Research Consultancy (P) Ltd.,,AGENCY,Agency,marketing.lamp@gmail.com,044 - 42111385,N/A,India,,N/A,N/A,0,0,0,0
Transworld Subscription Agency,,AGENCY,Agency,transhyd10@yahoo.co.in,9701553052,N/A,India,,N/A,N/A,0,0,0,0
Unique Media Integrators,,AGENCY,Agency,umi.infobooks@gmail.com,"044-28250519,9043050611",N/A,India,,N/A,N/A,0,0,0,0
United Books Supplier,,AGENCY,Agency,info@unitedbooksuppliers.com,7899080378,N/A,India,,N/A,N/A,0,0,0,0
Universal Book Stall,,AGENCY,Agency,"arorasushil@rediffmail.com, ubsbdns@gmail.com",8383946778,N/A,India,,N/A,N/A,0,0,0,0
University Book House Pvt. Ltd,,AGENCY,Agency,uni_bookhouse@yahoo.com,"0141-2311466,2313382 Mob.09414046753,9983075242",N/A,India,,N/A,N/A,0,0,0,0
Ushaasri Agencies Llp,,AGENCY,Agency,info@ushaasriagencies.in,7021142115,N/A,India,,N/A,N/A,0,0,0,0
V Mags Global Services,,AGENCY,Agency,vmagsglobalservices@gmail.com,8287044302,N/A,India,,N/A,N/A,0,0,0,0
Vaagartha Magazines And Journals,,AGENCY,Agency,vaagarthajournals@gmail.com,8939868647,N/A,India,,N/A,N/A,0,0,0,0
Vaibhav Book House Pvt.Ltd,,AGENCY,Agency,sales.vbh@gmail.com,020-24456915/7769885613,N/A,India,,N/A,N/A,0,0,0,0
Vaibhav Book House Pvt.Ltd Pune,,AGENCY,Agency,sales.vbh@gmail.com,"020-24456915,7769885613",N/A,India,,N/A,N/A,0,0,0,0
Vaishnavi Subscription Services,,AGENCY,Agency,subscription@vss.ind.in,8010766660,N/A,India,,N/A,N/A,0,0,0,0
Vardhman Agency,,AGENCY,Agency,vardhmanagency.rjt@gmail.com,0281 - 2588130,N/A,India,,N/A,N/A,0,0,0,0
Ved Subscription Agency,,AGENCY,Agency,vedsubscriptions@gmail.com,096677 41047,N/A,India,,N/A,N/A,0,0,0,0
Vidyarthi Kendra,,AGENCY,Agency,vidyarthi.kendrably@gmail.com,9634091870,N/A,India,,N/A,N/A,0,0,0,0
Vidyasagar Journals & Periodicals,,AGENCY,Agency,vidyasagarjournals@gmail.com,8928224451/022-79622023,N/A,India,,N/A,N/A,0,0,0,0
Vijay Stores Anand,,AGENCY,Agency,vijaystoresanand@gmail.com,02692-244635,N/A,India,,N/A,N/A,0,0,0,0
Vijaya Subscription & Distribution Services,,AGENCY,Agency,"vsdsjournals@gmail.com,vsdscal@gmail.com",3.34E+19,N/A,India,,N/A,N/A,0,0,0,0
Vijoya Subscription & Distribution Services,,AGENCY,Agency,vsdsjournals@gmail.com,"033-40630126, 9830026292",N/A,India,,N/A,N/A,0,0,0,0
Vimal Journal World,,AGENCY,Agency,vimaljournalworld@gmail.com,079-30252745/09723588809,N/A,India,,N/A,N/A,0,0,0,0
Vinay Pustak Sadan,,AGENCY,Agency,VINAYPUSTAKSADAN@GMAIL.COM,8962362667,N/A,India,,N/A,N/A,0,0,0,0
Vinayaka Magazines House Pvt. Ltd,,AGENCY,Agency,journals@vinayakamagazines.com,022-68888440,N/A,India,,N/A,N/A,0,0,0,0
Whuso Ecommerce Solutions Private Limited,,AGENCY,Agency,suzan@indiamags.com,022 2879 7635/91 8097002217,N/A,India,,N/A,N/A,0,0,0,0
Wilcox Books & Periodicals Co,,AGENCY,Agency,wilcoxbooks@gmail.com wilcoxbooks@yahoo.com,033 2577 1147,N/A,India,,N/A,N/A,0,0,0,0
World Universities Press,,AGENCY,Agency,world.universities.press@gmail.com,"Mobile : 8447165529/Ph- 011-26109931, 40517008 ,",N/A,India,,N/A,N/A,0,0,0,0
Xrangepub,,AGENCY,Agency,xrangepub@gmail.com,9655534575,N/A,India,,N/A,N/A,0,0,0,0
Zahraa Almarefah Bookstore.,,AGENCY,Agency,,Mobile: 00966538952944,N/A,India,,N/A,N/A,0,0,0,0
Zehra Publishing House,,AGENCY,Agency,,194-2472206,N/A,India,,N/A,N/A,0,0,0,0
Zenith Subscription Services Pvt. Ltd.,,AGENCY,Agency,zenithsub@gmail.com,9873183225,N/A,India,,N/A,N/A,0,0,0,0
